ticker,K,M,S,T,r,q,ask,bid,mid,iv_ask,iv_mid,iv_bid,last_price,volume,volume_1d,open_interest,theo_iv,theo_price,parity,delta_last,gamma_last,theta_last,vega_last,delta_mid,gamma_mid,theta_mid,vega_mid,rho_mid,ival,true,ylast,days_ex,FF,x
SPX 5/16/25 P3250,3250,0.630064846698104,5158.2,0.06774150177574821,0.04548025,0.01846128,2.19999980926514,1.79999923706055,1.999999523162845,0.710031204223633,0.701853561401367,0.6930787658691411,2.48000001907349,4.0,,4749.0,0.74190926709539,3.09203750083006,,-0.00719082448631525,0.00102943960754335,-0.363599260114816,0.27849681747572,-0.00595675129443407,0.000882963417097926,-0.306642442941666,0.237167954444885,-0.000221375317778438,,,2.20000004768372,24.7256481481481,5167.649727674457,-0.46376299068890425
SPX 5/16/25 P3300,3300,0.639758152031921,5158.2,0.06774150177574821,0.04548025,0.01846128,2.44999980926514,2.04999923706055,2.249999523162845,0.6979819488525391,0.690633010864258,0.682565155029297,2.32999992370605,4.0,506.0,4756.0,0.72802859225439,3.36829859262117,,-0.00674766302108765,0.000983233776612694,-0.346557775193981,0.267810777196654,-0.00672979559749365,0.00099965266417712,-0.336149334907532,0.264218509197235,-0.000250035984208807,,,2.15000009536743,24.7256481481481,5167.649727674457,-0.44849551855811576
SPX 5/16/25 P3350,3350,0.6494514573657381,5158.2,0.06774150177574821,0.04548025,0.01846128,2.69999980926514,2.29999923706055,2.499999523162845,0.685151519775391,0.6784837341308589,0.671482876368501,3.0,16.0,54.0,1698.0,0.7141371630724861,3.66486384311754,,-0.00882123969495296,0.00127625453640427,-0.420597179263473,0.333718225252247,-0.00752911483868957,0.00112346361856908,-0.364601641893387,0.291719347238541,-0.000279615167528391,,,2.25,24.7256481481481,5167.649727674457,-0.4334576411935752
SPX 5/16/25 P3400,3400,0.659144762699555,5158.2,0.06774150177574821,0.04548025,0.01846128,3.0,2.54999923706055,2.774999618530275,0.673189315795898,0.666371765136719,0.65902946472168,3.20000004768372,151.0,19.0,10253.0,0.700254459218695,3.98396432948528,,-0.0095352241769433,0.00139539840165526,-0.441345036029816,0.357451379299164,-0.0084179975092411,0.00126181798987091,-0.39500492811203,0.321795552968979,-0.000312493328237906,,,2.59999990463257,24.7256481481481,5167.649727674457,-0.41864255540843454
SPX 5/16/25 P3450,3450,0.668838068033372,5158.2,0.06774150177574821,0.04548025,0.01846128,3.40000057220459,2.90000057220459,3.15000057220459,0.662775268554688,0.656065444946289,0.649234619140625,3.79999995231628,44.0,15.0,2129.0,0.686396401051278,4.32815014915241,,-0.0109748551622033,0.00156730934948205,-0.506088960322257,0.40739237660293,-0.00958315469324589,0.0014357608743012,-0.435567378997803,0.360422879457474,-0.000355630792910233,,,3.59999990463257,24.7256481481481,5167.649727674457,-0.404043755987282
SPX 5/16/25 P3500,3500,0.678531373367189,5158.2,0.06774150177574821,0.04548025,0.01846128,3.69999980926514,3.19999980926514,3.44999980926514,0.64936393737793,0.643158645629883,0.6367084950219151,4.09999990463257,898.0,62.0,20522.0,0.6725748150138671,4.70015134354275,,-0.0123353758826852,0.00180849651704485,-0.531796333386173,0.446470339382694,-0.0105900559574366,0.00159798841923475,-0.465976983308792,0.393331259489059,-0.000392843678127974,,,3.20000004768372,24.7256481481481,5167.649727674457,-0.3896550185351823
SPX 5/16/25 P3525,3525,0.683378026034098,5158.2,0.06774150177574821,0.04548025,0.01846128,3.89999961853027,3.39999961853027,3.64999961853027,0.643531494140625,0.637527961730957,0.631481385698378,4.86999988555908,153.0,24.0,797.0,0.665680175586339,4.89750654588391,,-0.014251465909183,0.00203141016619078,-0.608324371575335,0.506182946631418,-0.0112264696508646,0.00169608579017222,-0.485954999923706,0.413822203874588,-0.000416387250879779,,,3.40000009536743,24.7256481481481,5167.649727674457,-0.3825375507663184
SPX 5/16/25 P3550,3550,0.688224678701006,5158.2,0.06774150177574821,0.04548025,0.01846128,4.10000038146973,3.60000038146973,3.85000038146973,0.637525215148926,0.631890411376953,0.6259518941018,4.40000009536743,915.0,42.0,1306.0,0.6587970430389489,5.10293568146556,,-0.0133532891049981,0.00197377172298729,-0.560270130634308,0.478969484567642,-0.0118816718459129,0.00179758504964411,-0.506011128425598,0.434766948223114,-0.000440671050455421,,,3.5,24.7256481481481,5167.649727674457,-0.37547038354322587
SPX 5/16/25 P3575,3575,0.6930713313679151,5158.2,0.06774150177574821,0.04548025,0.01846128,4.30000019073486,3.79999923706055,4.049999713897705,0.631221084594727,0.625842552185059,0.620241088867188,4.40000009536743,9.0,16.0,646.0,0.651925601101913,5.31686934953128,,-0.0131244752556086,0.0019306279462197,-0.562172180173826,0.477351729684825,-0.0125457206740975,0.00190253916662186,-0.52534681558609,0.455747187137604,-0.000465195480501279,,,3.59999990463257,24.7256481481481,5167.649727674457,-0.3684528108845794
SPX 5/16/25 P3600,3600,0.6979179840348231,5158.2,0.06774150177574821,0.04548025,0.01846128,4.5,4.0,4.25,0.624739570617676,0.619612159729004,0.61419064985653,4.30000019073486,7.0,34.0,9423.0,0.6450657403543499,5.53967271912083,,-0.0133134098723531,0.00201651849783957,-0.549257457256317,0.480240136384964,-0.0132246408611536,0.00201128306798637,-0.544365584850311,0.477000057697296,-0.000490245234686881,,,3.70000004768372,24.7256481481481,5167.649727674457,-0.3614841415684859
SPX 5/16/25 P3625,3625,0.702764636701732,5158.2,0.06774150177574821,0.04548025,0.01846128,4.69999980926514,4.19999980926514,4.44999980926514,0.617909965515137,0.6129991149902341,0.6079691008801951,4.8899998664856,2.0,41.0,2509.0,0.638217065418466,5.77179427758575,,-0.0147670665755868,0.00218699382599071,-0.606760459391161,0.527252661882832,-0.0139132095500827,0.00212405878119171,-0.562622427940369,0.498302608728409,-0.000515547057148069,,,4.59999990463257,24.7256481481481,5167.649727674457,-0.3545636987239122
SPX 5/16/25 P3650,3650,0.7076112893686399,5158.2,0.06774150177574821,0.04548025,0.01846128,4.89999961853027,4.40000057220459,4.65000009536743,0.6112004089355471,0.6064796066284179,0.60158992767334,4.69999980926514,1.0,,5827.0,0.631378906967743,6.01365800462264,,-0.0147367483004928,0.00225243926979601,-0.585279583930969,0.523913443088531,-0.0146188186481595,0.0022403069306165,-0.580880999565125,0.520029485225677,-0.000541568268090487,,,6.90000009536743,24.7256481481481,5167.649727674457,-0.3476908194361502
SPX 5/16/25 P3675,3675,0.7124579420355489,5158.2,0.06774150177574821,0.04548025,0.01846128,5.19999980926514,4.60000038146973,4.900000095367435,0.6061093521118159,0.600434722900391,0.594826469421387,6.55999994277954,24.0,17.0,1183.0,0.624550339001551,6.26565781733833,,-0.0197845865041018,0.00286705272808922,-0.752609198015389,0.667947479072217,-0.0154649931937456,0.00237498222850263,-0.603491008281708,0.545716941356659,-0.000572710589040071,,,4.30000019073486,24.7256481481481,5167.649727674457,-0.34086485436575026
SPX 5/16/25 P3700,3700,0.717304594702457,5158.2,0.06774150177574821,0.04548025,0.01846128,5.39999961853027,4.89999961853027,5.14999961853027,0.59896484375,0.59467342376709,0.5902417755126951,5.90000009536743,260.0,509.0,6790.0,0.617730201874212,6.52827742951848,,-0.01841951161623,0.00277014185228609,-0.691577755639294,0.630389177440257,-0.0163123533129692,0.00251021794974804,-0.625786185264587,0.571367144584656,-0.00060408323770389,,,4.80000019073486,24.7256481481481,5167.649727674457,-0.33408516738037153
